area,file_name,minister,ministry
tanjong,20150527_Parliamentary_Reply_soalan-70.txt,Ng Wei Aik,perdana menteri
,20150608_Parliamentary_Reply_soalan-46.txt,,
,20150402_Parliamentary_Reply_soalan-19.txt,,menteri sumber manusia
gelang patah,20151021__DR_JawabLisan_soalan-27.txt,Lim Kit Siang,perdana menteri
petaling java utara,Oct_Bertulis_Soalan_201-300_soalan-272.txt,Tony Pua Kiam Wee,menteri kewangan
,20140611_soalan-163_1457585983.txt,,
,20140617_soalan-56.txt,,menteri perdagangan antarabangsa dan industri
,20150618_ParliamentaryReply_soalan-30.txt,,
bakri,Soalan_10-62_Oct_9_soalan-44.txt,Er Teck Hwa,menteri pengangkutan
,20140401_31-60_soalan-42.txt,,menteri pertanian dan industri asas tani
selayang,20150611_Parliamentary_Reply_soalan-18.txt,William Leong Jee Keen,menteri kewangan
,20150618_ParliamentaryReply_soalan-65.txt,,menteri luar negeri
puchong,Oct_Bertulis_Soalan_201-300_soalan-267.txt,Gobind Singh Deo,menteri dalam negeri
machang,Oct_Bertulis_Soalan_1-100_soalan-28.txt,Ahmad Jazlan Bin Yaakub,perdana menteri
kota kinabalu,Soalan_08-56_Oct_27_soalan-45.txt,Wong Sze Phin,perdana menteri
julau,20150326_Parliamentary_Reply_soalan-54.txt,Joseph Salang Gandum,menteri pendidikan
batu pahat,20140325_31-60_soalan-44.txt,,perdana menteri
kuala selangor,20141120_Parliamentary_Reply_soalan-17.txt,Irmohizam Bin Ibrahim,menteri dalam negeri
,Mar-Apr_2015_SoalanBertulis_101-200_soalan-200.txt,,menteri pembangunan wanita keluarga dan masyarakat
batu kawan 1,Soalan_10-62_Oct_9_soalan-50.txt,Kasthuriraani Patto,menteri pendidikan
,20150519_Parliamentary_Reply_soalan-64_1435138721.txt,,
kota bharu,20151118__DR_JawabLisan_soalan-55.txt,Takiyuddin Bin Hassan,menteri dalam negeri
setiawangsa,20140324_31-60_soalan-36.txt,Ahmad Fauzi Zahari,perdana menteri
paya besar,20151125__DR_JawabLisan_soalan-54.txt,Abdul Manan Ismail,menteri kewangan
,20150518_20150618_S401_S500_soalan-496.txt,,perdana menteri
puchong,20150615_Parliamentary_Reply_soalan-20.txt,Gobind Singh Deo,menteri pendidikan
tanjong malim,20140619_soalan-44.txt,Ong Ka Chuan,menteri pembangunan wanita keluarga dan masyarakat
sepang,20150518_20150618_S401_S500_soalan-421.txt,Mohamed Hanipa Maidin,menteri pelancongan dan kebudayaan
masjid tanah,20150518_20150618_S1_S100_soalan-99.txt,Mas Ermieyati Samsudin,menteri perdagangan antarabangsa dan industri
sipitang,20141111_Parliamentary_Reply_soalan-17.txt,Sapawi Ahmad Wasali,menteri pendidikan
,2014040_71-25_soalan-0-intro.txt,,
kepong,20140318_1-25_soalan-12.txt,Tan Seng Giaw,menteri dalam negeri
,20140325_61-76_soalan-66.txt,,menteri kemajuan luar bandar dan wilayah
sandakan,20140619_soalan-53.txt,Wong Tien Fatt,menteri kerja raya
mukah,20141111_Parliamentary_Reply_soalan-12_1439372489.txt,Muhammad Abdullah,menteri perusahaan perladangan dan komoditi
,20151022__DR_JawabLisan_soalan-49.txt,,menteri pembangunan wanita keluarga dan masyarakat
kuala krai,Oct_Bertulis_Soalan_301-400_soalan-396.txt,,menteri kewangan
batu gajah,20150325_Parliamentary_Reply_soalan-77.txt,Sivakumar A/L Varatharaju Naidu,menteri kewangan
bintulu,20150528_Parliamentary_Reply_soalan-87.txt,Tiong King Sing,
,20151019_DR_JawabLisan_soalan-5.txt,,menteri pertanian dan industri asas tani
,20150323_Parliamentary_Reply_soalan-37.txt,,menteri pertanian dan industri asas tani
,20140618_soalan-74.txt,,menteri kesihatan
simpang renggam,20140319_21-50_soalan-47.txt,Liang Teck Meng,menteri pendidikan
,20140617_soalan-22.txt,,menteri kesihatan
,20150406_Parliamentary_Reply_soalan-42.txt,,menteri belia dan sukan
kulim bandar baharu,20150310_Parliamentary_Reply_soalan-37_1438594464.txt,,menteri pendidikan
,20140617_soalan-61.txt,,menteri tenaga teknologi hijau dan air
pasir mas,20151124__DR_JawabLisan_soalan-14.txt,Nik Mohamad Abduh Bin Nik Abdul Aziz,menteri kewangan
,20150326_Parliamentary_Reply_soalan-9.txt,,menteri pertanian dan industri asas tani
setiawangsa,20150527_Parliamentary_Reply_soalan-15.txt,Ahmad Fauzi Zahari,menteri perdagangan dalam negeri koperasi dan kepenggunaan
pendang,20151116__DR_JawabLisan_soalan-15.txt,Othman Bin Abdul,menteri kewangan
wangsa maju,20151105__DR_JawabLisan_soalan-47.txt,Tan Kee Kwong,menteri kewangan
,20150518_20150618_S201_S300_soalan-237.txt,,menteri pertanian dan industri asas tani
kapar,20151124__DR_JawabLisan_soalan-44.txt,G Manivannan A/L Gowindasamy,menteri pelancongan dan kebudayaan
,201406_SoalanBertulis_soalan-46.txt,,menteri tenaga teknologi hijau dan air
,20150608_Parliamentary_Reply_soalan-43_1435138746.txt,,
selayang,20150402_Parliamentary_Reply_soalan-36.txt,William Leong Jee Keen,menteri kewangan
taiping,20140618_soalan-112.txt,Nga Kor Ming,menteri pelancongan dan kebudayaan
tanah merah,20151118__DR_JawabLisan_soalan-53.txt,Ikmal Hisham Bin Abdul Aziz,perdana menteri
,20140612_soalan-108_1457586084_1457586085.txt,,
kota raja,20141112_Parliamentary_Reply_soalan-32.txt,Siti Mariah Binti Mahmud,perdana menteri
tenom,201406_SoalanBertulis_soalan-161.txt,Raime Unggi,perdana menteri
baram,Soalan_08-55_Oct_13_soalan-11.txt,Anyi Ngau,menteri pendidikan
ipoh barat,20150609_Parliamentary_Reply_soalan-68_1435138751.txt,M. Kulasegaran A/L V. Murugeson,menteri luar negeri
kuala langat,Oct_Bertulis_Soalan_501-569_soalan-529.txt,Abdullah Sani Abdul Hamid,menteri sumber manusia
stampin,20150518_Parliamentary_Reply_soalan-42.txt,Julian Tan Kok Ping,menteri dalam negeri
ketereh,20150520_Parliamentary_Reply_soalan-25.txt,Annuar Bin Musa,menteri perdagangan dalam negeri koperasi dan kepenggunaan
,20140323_1-60_soalan-60.txt,,menteri kesihatan
serdang,Oct_Bertulis_Soalan_201-300_soalan-263.txt,Ong Kian Ming,perdana menteri
,20150519_Parliamentary_Reply_soalan-11.txt,,menteri kesihatan
,20140331_31-60_soalan-59.txt,,menteri kemajuan luar bandar dan wilayah
puchong,Soalan_8-61_Oct_7_soalan-46.txt,Gobind Singh Deo,perdana menteri
sungai petani,20140617_soalan-134_1457586180.txt,Johari Bin Abdullah,menteri kewangan
sarikei,20151123__DR_JawabLisan_soalan-28.txt,Wong Ling Biu,menteri dalam negeri
,20140320_1-30_soalan-25.txt,,menteri kemajuan luar bandar dan wilayah
seputeh yang me,20140611_soalan-118.txt,Teresa Kok Suh Sim,menteri dalam negeri
nibong tebal,2014040_71-25_soalan-2.txt,Mansor Bin Othman,menteri pendidikan
,20151201__DR_JawabLisan_soalan-42.txt,,
kapar,20151020__DR_JawabLisan_soalan-10.txt,G Manivannan A/L Gowindasamy,menteri perdagangan dalam negeri koperasi dan kepenggunaan
,Oct_Bertulis_Soalan_501-569_soalan-512.txt,,menteri kesihatan
kuala terengganu,Mar-Apr_2015_Soalan_Bertulis_401-500_soalan-416.txt,Raja Kamarul Bahrin Shah,menteri kerja raya
